Software-ID;Citations;Bib.Ref.abs;Bib.Ref.rel;Bib.Soft.abs;Bib.Soft.rel
MALLET;9;0;0;5;0.555555555555555556
XTriples;4;0;0;2;0.5
CATMA;17;2;0.117647058823529412;8;0.470588235294117647
FuD;6;1;0.166666666666666667;2;0.333333333333333333
ediarum;7;3;0.428571428571428571;2;0.285714285714285714
TEASys;4;3;0.75;1;0.25
CorrespSearch;13;6;0.461538461538461538;3;0.230769230769230769
WebLicht;9;3;0.333333333333333333;2;0.222222222222222222
Transkribus;14;3;0.214285714285714286;3;0.214285714285714286
WITTfind;5;5;1;1;0.2
TUSTEP;7;0;0;1;0.142857142857142857
WissKI;15;7;0.466666666666666667;2;0.133333333333333333
ELAN;8;2;0.25;1;0.125
OCRopus;9;3;0.333333333333333333;1;0.111111111111111111
Stylo;10;7;0.7;1;0.1
EXMARaLDA;11;8;0.727272727272727273;0;0
WebAnno;12;6;0.5;0;0
DiaCollo;3;1;0.333333333333333333;0;0
LAKomp;2;1;0.5;0;0
SALSAH;3;2;0.666666666666666667;0;0
LERA;3;2;0.666666666666666667;0;0
CorpusExplorer;2;1;0.5;0;0
ANNIS;8;6;0.75;0;0
VAnnotatoR;1;1;1;0;0
OSDS;1;1;1;0;0
Gephi;3;2;0.666666666666666667;0;0
Opaque;1;0;0;0;0